C This is dla.cc ver.2.0.5

I N_PROC = 1
P D       =            1
P L       =           32
P BETA    =      10.0000000000000000
P NSET    =            5
P NPRE    =         1000
P NTHERM  =         1000
P NDECOR  =         1000
P NMCS    =         1000
P SEED    =    198212240
P NSEGMAX =       100000
P NVERMAX =       100000
P BETA    = 10.000000000000
P NTAU    =           10
P NCYC    =           18
P ALGFILE = algorithm.xml
P LATFILE = lattice.xml
P WVFILE = wv.xml
P DISPFILE  = disp.xml
P OUTFILE    = res_2_1.dat
P CFOUTFILE  = cf_2_1.dat
P SFOUTFILE  = sf_2_1.dat
P CKOUTFILE  = ck_2_1.dat
P SIMULATIONTIME   =     0.000000
R C0t0 = 3.31550000e-01 5.53356760e-04
R C0t1 = 1.13183333e-01 9.98324213e-04
R C0t2 = 5.67555556e-02 8.91290159e-04
R C0t3 = 3.45500000e-02 4.80756220e-04
R C0t4 = 2.48666667e-02 1.60391111e-04
R C0t5 = 2.16666667e-02 5.36549907e-04
R C0t6 = 2.43888889e-02 2.98788707e-04
R C0t7 = 3.44611111e-02 8.35487955e-04
R C0t8 = 5.68111111e-02 7.69670043e-04
R C0t9 = 1.15761111e-01 1.08673256e-03

R C1t0 = 2.32916667e-01 9.04890690e-04
R C1t1 = 1.02283333e-01 1.74466559e-03
R C1t2 = 5.41055556e-02 9.60099018e-04
R C1t3 = 3.32500000e-02 8.17016176e-04
R C1t4 = 2.36333333e-02 4.06106931e-04
R C1t5 = 2.03611111e-02 1.92249516e-04
R C1t6 = 2.40666667e-02 4.76904887e-04
R C1t7 = 3.46277778e-02 8.95530741e-04
R C1t8 = 5.59333333e-02 7.97110910e-04
R C1t9 = 1.04161111e-01 9.85911560e-04

R C2t0 = 1.25483333e-01 1.35985203e-03
R C2t1 = 8.71055556e-02 9.88217625e-04
R C2t2 = 5.14111111e-02 2.58109222e-04
R C2t3 = 3.19500000e-02 5.30213677e-04
R C2t4 = 2.36555556e-02 3.81335373e-04
R C2t5 = 2.01611111e-02 6.54601471e-04
R C2t6 = 2.31722222e-02 5.01032884e-04
R C2t7 = 3.27611111e-02 7.87028322e-04
R C2t8 = 5.29000000e-02 1.05110906e-03
R C2t9 = 8.80888889e-02 8.11776744e-04

R C3t0 = 9.69333333e-02 7.68476126e-04
R C3t1 = 7.24666667e-02 9.72991759e-04
R C3t2 = 4.58777778e-02 2.65070454e-04
R C3t3 = 3.05333333e-02 6.73999029e-04
R C3t4 = 2.19222222e-02 6.31258786e-04
R C3t5 = 1.93500000e-02 4.95083856e-04
R C3t6 = 2.14611111e-02 7.52598380e-04
R C3t7 = 3.07000000e-02 8.56952323e-04
R C3t8 = 4.73611111e-02 2.39437355e-04
R C3t9 = 7.45388889e-02 7.82308234e-04

R C4t0 = 6.99277778e-02 7.07194073e-04
R C4t1 = 5.77277778e-02 9.19666808e-04
R C4t2 = 4.04833333e-02 6.65601000e-04
R C4t3 = 2.78833333e-02 5.60836016e-04
R C4t4 = 2.01777778e-02 2.87416118e-04
R C4t5 = 1.82000000e-02 4.67410122e-04
R C4t6 = 2.11777778e-02 4.70306572e-04
R C4t7 = 2.79777778e-02 5.35571115e-04
R C4t8 = 4.00388889e-02 5.23933367e-04
R C4t9 = 5.95611111e-02 9.50040610e-04

R C5t0 = 5.54500000e-02 7.75811005e-04
R C5t1 = 4.69444444e-02 6.20321999e-04
R C5t2 = 3.46388889e-02 8.62185709e-04
R C5t3 = 2.43111111e-02 5.56554657e-04
R C5t4 = 1.90611111e-02 6.82418086e-04
R C5t5 = 1.73166667e-02 5.06866432e-04
R C5t6 = 1.89944444e-02 6.23448692e-04
R C5t7 = 2.47388889e-02 5.95287564e-04
R C5t8 = 3.55222222e-02 8.08252191e-04
R C5t9 = 4.84111111e-02 1.14238623e-03

R C6t0 = 4.24555556e-02 3.36512616e-04
R C6t1 = 3.85333333e-02 5.34345105e-04
R C6t2 = 3.00833333e-02 8.02340327e-04
R C6t3 = 2.14666667e-02 4.22861358e-04
R C6t4 = 1.72055556e-02 5.33492453e-04
R C6t5 = 1.64111111e-02 6.84901092e-04
R C6t6 = 1.74833333e-02 3.46677350e-04
R C6t7 = 2.23611111e-02 6.94999778e-04
R C6t8 = 3.03444444e-02 5.01740797e-04
R C6t9 = 3.99277778e-02 9.42710827e-04

R C7t0 = 3.53611111e-02 6.76433092e-04
R C7t1 = 3.24666667e-02 7.19621385e-04
R C7t2 = 2.57055556e-02 6.06395951e-04
R C7t3 = 1.88444444e-02 6.30537200e-04
R C7t4 = 1.60888889e-02 5.69302150e-04
R C7t5 = 1.46166667e-02 6.68654444e-04
R C7t6 = 1.57500000e-02 1.79591443e-04
R C7t7 = 1.93333333e-02 4.00327798e-04
R C7t8 = 2.60722222e-02 3.52854322e-04
R C7t9 = 3.29944444e-02 5.04868275e-04

R C8t0 = 2.80555556e-02 5.82870187e-04
R C8t1 = 2.62888889e-02 6.42237601e-04
R C8t2 = 2.13388889e-02 4.76403061e-04
R C8t3 = 1.75388889e-02 7.72881413e-04
R C8t4 = 1.43500000e-02 4.99119595e-04
R C8t5 = 1.35722222e-02 6.42237601e-04
R C8t6 = 1.48444444e-02 4.72924315e-04
R C8t7 = 1.78388889e-02 6.22829565e-04
R C8t8 = 2.18333333e-02 3.88591156e-04
R C8t9 = 2.70888889e-02 6.09049553e-04

R C9t0 = 2.33277778e-02 4.59921491e-04
R C9t1 = 2.17000000e-02 3.80808918e-04
R C9t2 = 1.78611111e-02 3.24774376e-04
R C9t3 = 1.52666667e-02 2.31507406e-04
R C9t4 = 1.29944444e-02 4.67410122e-04
R C9t5 = 1.22166667e-02 4.96002539e-04
R C9t6 = 1.29722222e-02 4.00231415e-04
R C9t7 = 1.49888889e-02 5.82711309e-04
R C9t8 = 1.82555556e-02 6.20906347e-04
R C9t9 = 2.30722222e-02 7.22254273e-04

R C10t0 = 1.88055556e-02 1.92249516e-04
R C10t1 = 1.85777778e-02 2.37398451e-04
R C10t2 = 1.60388889e-02 2.93919868e-04
R C10t3 = 1.36166667e-02 4.79631417e-04
R C10t4 = 1.18444444e-02 5.67415083e-04
R C10t5 = 1.18833333e-02 7.92148976e-04
R C10t6 = 1.18277778e-02 4.27398822e-04
R C10t7 = 1.34000000e-02 2.14015114e-04
R C10t8 = 1.59777778e-02 4.38537130e-04
R C10t9 = 1.80333333e-02 2.00770122e-04

R C11t0 = 1.61611111e-02 3.01539261e-04
R C11t1 = 1.57500000e-02 6.13505411e-04
R C11t2 = 1.36777778e-02 5.23565058e-04
