C This is dla.cc ver.2.0.5

I N_PROC = 1
P D       =            2
P L       =            8      8
P BETA    =      10.0000000000000000
P NSET    =            4
P NPRE    =         1000
P NTHERM  =          100
P NDECOR  =          100
P NMCS    =          100
P SEED    =    198212240
P NSEGMAX =       100000
P NVERMAX =       100000
P BETA    = 10.000000000000
P NTAU    =           10
P NCYC    =          199
P ALGFILE = algorithm.xml
P LATFILE = lattice.xml
P WVFILE = wv.xml
P DISPFILE  = disp.xml
P OUTFILE    = res_5.dat
P CFOUTFILE  = cf_5.dat
P SFOUTFILE  = sf_5.dat
P CKOUTFILE  = ck_5.dat
P SIMULATIONTIME   =     0.000000
R C0t0 = 5.00709799e-01 1.62630226e-03
R C0t1 = 2.05716080e-02 4.59574114e-04
R C0t2 = 3.96984925e-03 2.60306035e-04
R C0t3 = 8.91959799e-04 7.97845849e-05
R C0t4 = 3.64321608e-04 4.41191531e-05
R C0t5 = 3.01507538e-04 4.22927342e-05
R C0t6 = 6.40703518e-04 3.32380818e-05
R C0t7 = 1.04899497e-03 1.29494523e-04
R C0t8 = 3.92587940e-03 3.95728643e-04
R C0t9 = 2.12814070e-02 7.40460403e-04

R C1t0 = 1.12437186e-01 1.08025592e-03
R C1t1 = 8.81909548e-03 2.17352417e-04
R C1t2 = 2.43090452e-03 2.13783269e-04
R C1t3 = 7.41206030e-04 7.50271058e-05
R C1t4 = 3.70603015e-04 6.98527107e-05
R C1t5 = 2.82663317e-04 6.27092928e-05
R C1t6 = 4.71105528e-04 1.02767095e-04
R C1t7 = 8.47989950e-04 9.91189311e-05
R C1t8 = 2.27386935e-03 2.03734607e-04
R C1t9 = 9.48492462e-03 5.64861152e-04

R C2t0 = 1.62185930e-02 4.18488186e-04
R C2t1 = 7.12311558e-03 3.20208034e-04
R C2t2 = 2.17336683e-03 2.03734607e-04
R C2t3 = 9.04522613e-04 1.85487727e-04
R C2t4 = 4.27135678e-04 1.53177062e-04
R C2t5 = 2.88944724e-04 8.79396985e-05
R C2t6 = 5.08793970e-04 6.90954774e-05
R C2t7 = 1.01130653e-03 9.13867372e-05
R C2t8 = 2.64447236e-03 1.70526030e-04
R C2t9 = 7.17336683e-03 5.22880762e-04

R C3t0 = 5.06909548e-03 1.01219698e-04
R C3t1 = 3.48618090e-03 1.30304505e-04
R C3t2 = 1.47613065e-03 8.78648880e-05
R C3t3 = 6.84673367e-04 8.03594684e-05
R C3t4 = 3.45477387e-04 1.43742238e-04
R C3t5 = 2.57537688e-04 4.15080142e-05
R C3t6 = 3.32914573e-04 6.90954774e-05
R C3t7 = 5.77889447e-04 4.70057461e-05
R C3t8 = 1.64572864e-03 2.22495441e-04
R C3t9 = 3.15954774e-03 9.08092481e-05

R C4t0 = 2.55025126e-03 1.80164362e-04
R C4t1 = 2.89572864e-03 3.32598377e-04
R C4t2 = 1.78391960e-03 2.35922379e-04
R C4t3 = 6.40703518e-04 6.84260244e-05
R C4t4 = 4.71105528e-04 5.36683652e-05
R C4t5 = 3.26633166e-04 6.88093665e-05
R C4t6 = 5.02512563e-04 5.89248211e-05
R C4t7 = 7.97738693e-04 1.34672351e-04
R C4t8 = 1.82160804e-03 8.30160285e-05
R C4t9 = 3.05276382e-03 2.78373364e-04

R C5t0 = 5.69095477e-03 3.58645790e-04
R C5t1 = 3.19723618e-03 2.44974874e-04
R C5t2 = 1.47613065e-03 9.25309037e-05
R C5t3 = 6.65829146e-04 9.97142454e-05
R C5t4 = 3.95728643e-04 8.41958512e-05
R C5t5 = 3.58040201e-04 6.67722727e-05
R C5t6 = 3.58040201e-04 4.15080142e-05
R C5t7 = 5.96733668e-04 8.03594684e-05
R C5t8 = 1.54522613e-03 1.16276745e-04
R C5t9 = 3.24748744e-03 1.17121996e-04

R C6t0 = 1.60552764e-02 3.39893197e-04
R C6t1 = 7.01005025e-03 4.51562833e-04
R C6t2 = 2.45603015e-03 1.63919452e-04
R C6t3 = 9.67336683e-04 7.57250474e-05
R C6t4 = 4.02010050e-04 6.88093665e-05
R C6t5 = 2.63819095e-04 7.28931959e-05
R C6t6 = 4.83668342e-04 7.90393052e-05
R C6t7 = 9.10804020e-04 7.56381569e-05
R C6t8 = 2.68216080e-03 2.84887952e-04
R C6t9 = 6.81532663e-03 3.43338897e-04

R C7t0 = 1.12016332e-01 1.18886864e-03
R C7t1 = 8.68090452e-03 2.01397230e-04
R C7t2 = 2.41206030e-03 1.56573862e-04
R C7t3 = 7.97738693e-04 2.02926069e-04
R C7t4 = 2.76381910e-04 1.77665020e-05
R C7t5 = 2.44974874e-04 5.74557066e-05
R C7t6 = 4.08291457e-04 1.01738112e-04
R C7t7 = 6.72110553e-04 1.20225102e-04
R C7t8 = 2.60050251e-03 3.62657204e-05
R C7t9 = 8.71231156e-03 3.56420268e-04

R C8t0 = 1.11319095e-01 1.49887587e-03
R C8t1 = 8.99497487e-03 3.81738699e-04
R C8t2 = 2.17336683e-03 9.86534254e-05
R C8t3 = 8.47989950e-04 8.41958512e-05
R C8t4 = 3.76884422e-04 6.88093665e-05
R C8t5 = 2.57537688e-04 9.91189311e-05
R C8t6 = 3.14070352e-04 4.29101791e-05
R C8t7 = 7.28643216e-04 6.40580341e-05
R C8t8 = 2.34296482e-03 3.97453104e-04
R C8t9 = 9.71105528e-03 1.48822074e-04

R C9t0 = 2.70665829e-02 7.10021311e-04
R C9t1 = 9.10175879e-03 2.47750882e-04
R C9t2 = 2.78266332e-03 2.26450314e-04
R C9t3 = 9.86180905e-04 1.44836044e-04
R C9t4 = 3.70603015e-04 8.03594684e-05
R C9t5 = 2.88944724e-04 3.90593763e-05
R C9t6 = 4.58542714e-04 5.26790018e-05
R C9t7 = 1.03643216e-03 1.54672341e-04
R C9t8 = 3.31658291e-03 1.74075458e-04
R C9t9 = 9.77386935e-03 7.03218410e-05

R C10t0 = 9.92462312e-03 3.78694703e-04
R C10t1 = 4.79899497e-03 3.40974924e-04
R C10t2 = 1.48241206e-03 1.55224062e-04
R C10t3 = 6.65829146e-04 1.08797161e-04
R C10t4 = 2.63819095e-04 4.41191531e-05
R C10t5 = 1.94723618e-04 4.74235831e-05
R C10t6 = 4.27135678e-04 9.56755415e-05
R C10t7 = 6.72110553e-04 3.30396437e-05
R C10t8 = 1.87185930e-03 2.37145647e-04
R C10t9 = 4.64824121e-03 1.34525782e-04

R C11t0 = 2.73241206e-03 2.45832369e-04
R C11t1 = 3.40452261e-03 2.64018430e-04
R C11t2 = 1.52638191e-03 1.57035176e-04
