C This is dla.cc ver.2.0.5

I N_PROC = 1
P D       =            2
P L       =            8      8
P BETA    =      10.0000000000000000
P NSET    =            4
P NPRE    =         1000
P NTHERM  =          100
P NDECOR  =          100
P NMCS    =          100
P SEED    =    198212240
P NSEGMAX =       100000
P NVERMAX =       100000
P BETA    = 10.000000000000
P NTAU    =           10
P NCYC    =          491
P ALGFILE = algorithm.xml
P LATFILE = lattice.xml
P WVFILE = wv.xml
P DISPFILE  = disp.xml
P OUTFILE    = res_6.dat
P CFOUTFILE  = cf_6.dat
P SFOUTFILE  = sf_6.dat
P CKOUTFILE  = ck_6.dat
P SIMULATIONTIME   =     0.000000
R C0t0 = 1.28976578e+00 2.34928371e-03
R C0t1 = 2.56211813e-02 4.19950509e-04
R C0t2 = 5.44806517e-04 3.93300415e-05
R C0t3 = 1.52749491e-05 1.52749491e-05
R C0t4 = 0.00000000e+00 0.00000000e+00
R C0t5 = 0.00000000e+00 0.00000000e+00
R C0t6 = 0.00000000e+00 0.00000000e+00
R C0t7 = 4.58248473e-05 2.09934095e-05
R C0t8 = 7.43380855e-04 1.39254525e-04
R C0t9 = 2.64969450e-02 3.71190226e-04

R C1t0 = 2.98228106e-01 2.48535099e-03
R C1t1 = 1.18126273e-03 2.72486521e-04
R C1t2 = 5.09164969e-06 3.93300415e-05
R C1t3 = -1.01832994e-05 1.01832994e-05
R C1t4 = 0.00000000e+00 0.00000000e+00
R C1t5 = 0.00000000e+00 0.00000000e+00
R C1t6 = 0.00000000e+00 0.00000000e+00
R C1t7 = -5.09164969e-06 1.73912946e-05
R C1t8 = -4.07331976e-05 3.98755605e-05
R C1t9 = 1.45621181e-03 9.31461150e-05

R C2t0 = 4.50066191e-01 2.44287957e-03
R C2t1 = 8.50305499e-04 3.54263214e-04
R C2t2 = 5.09164969e-05 5.84986013e-05
R C2t3 = 0.00000000e+00 0.00000000e+00
R C2t4 = 0.00000000e+00 0.00000000e+00
R C2t5 = 0.00000000e+00 0.00000000e+00
R C2t6 = 0.00000000e+00 0.00000000e+00
R C2t7 = 0.00000000e+00 1.44013601e-05
R C2t8 = -4.58248473e-05 9.74976688e-06
R C2t9 = 2.08757637e-04 4.14930402e-04

R C3t0 = 3.00554990e-01 1.25881879e-03
R C3t1 = 1.52240326e-03 2.15599953e-04
R C3t2 = -1.01832994e-05 3.37741832e-05
R C3t3 = 5.09164969e-06 5.09164969e-06
R C3t4 = 0.00000000e+00 0.00000000e+00
R C3t5 = 0.00000000e+00 0.00000000e+00
R C3t6 = 0.00000000e+00 0.00000000e+00
R C3t7 = 0.00000000e+00 8.31462913e-06
R C3t8 = -2.54582485e-05 3.84411122e-05
R C3t9 = 1.74643585e-03 1.23989773e-04

