C This is dla.cc ver.2.0.5

I N_PROC = 1
P D       =            2
P L       =            8      8
P BETA    =      10.0000000000000000
P NSET    =            4
P NPRE    =         1000
P NTHERM  =          100
P NDECOR  =          100
P NMCS    =          100
P SEED    =    198212240
P NSEGMAX =       100000
P NVERMAX =       100000
P BETA    = 10.000000000000
P NTAU    =           10
P NCYC    =          491
P ALGFILE = algorithm.xml
P LATFILE = lattice.xml
P WVFILE = wv.xml
P DISPFILE  = disp.xml
P OUTFILE    = res_6.dat
P CFOUTFILE  = cf_6.dat
P SFOUTFILE  = sf_6.dat
P CKOUTFILE  = ck_6.dat
P SIMULATIONTIME   =     0.000000
R C0t0 = 1.60000000e+01 0.00000000e+00
R C0t1 = 1.60000000e+01 0.00000000e+00
R C0t2 = 1.60000000e+01 0.00000000e+00
R C0t3 = 1.60000000e+01 0.00000000e+00
R C0t4 = 1.60000000e+01 0.00000000e+00
R C0t5 = 1.60000000e+01 0.00000000e+00
R C0t6 = 1.60000000e+01 0.00000000e+00
R C0t7 = 1.60000000e+01 0.00000000e+00
R C0t8 = 1.60000000e+01 0.00000000e+00
R C0t9 = 1.60000000e+01 0.00000000e+00

R C1t0 = 4.70156250e-02 1.93150534e-03
R C1t1 = 5.93750000e-04 5.54632480e-04
R C1t2 = 1.00000000e-03 1.00713600e-03
R C1t3 = -4.84375000e-04 4.28003328e-04
R C1t4 = -3.28125000e-04 1.06841948e-03
R C1t5 = 6.25000000e-04 1.25104123e-03
R C1t6 = -3.28125000e-04 1.06841948e-03
R C1t7 = -4.84375000e-04 4.28003328e-04
R C1t8 = 1.00000000e-03 1.00713600e-03
R C1t9 = 5.93750000e-04 5.54632480e-04

R C2t0 = 4.55312500e-02 2.85334918e-03
R C2t1 = -4.06250000e-04 8.62447160e-04
R C2t2 = -1.35937500e-03 5.31785882e-04
R C2t3 = 1.43750000e-03 8.54293690e-04
R C2t4 = 8.75000000e-04 5.85746497e-04
R C2t5 = 2.71875000e-03 8.54484189e-04
R C2t6 = 8.75000000e-04 5.85746497e-04
R C2t7 = 1.43750000e-03 8.54293690e-04
R C2t8 = -1.35937500e-03 5.31785882e-04
R C2t9 = -4.06250000e-04 8.62447160e-04

R C3t0 = 1.29178281e+01 5.64890140e-02
R C3t1 = 1.28023906e+01 6.18328527e-02
R C3t2 = 1.28067969e+01 6.05252260e-02
R C3t3 = 1.28032031e+01 6.18124440e-02
R C3t4 = 1.28083281e+01 5.97725255e-02
R C3t5 = 1.28023750e+01 6.34125669e-02
R C3t6 = 1.28083281e+01 5.97725255e-02
R C3t7 = 1.28032031e+01 6.18124440e-02
R C3t8 = 1.28067969e+01 6.05252260e-02
R C3t9 = 1.28023906e+01 6.18328527e-02

